ip,port,country,colo,colo_country,region,city,tcp_latency_ms,tls_latency_ms,http_latency_ms,average_latency_ms,tcp_jitter_ms,tls_jitter_ms,http_jitter_ms,jitter_ms,loss_rate,speed_mbps,tls_version,score
135.125.57.244,443,FR,,,,,159.549,,,159.549,1.753,,,1.753,0.0,5.402,,0.0
43.247.134.129,443,HK,,,,,119.688,,,119.688,6.484,,,6.484,0.0,5.4,,0.0
172.86.95.135,443,DE,,,,,187.539,,,187.539,50.183,,,50.183,0.0,5.397,,0.0
167.233.25.100,443,DE,,,,,189.574,,,189.574,23.296,,,23.296,0.0,5.393,,0.0
104.19.199.204,443,XX,,,,,199.05,,,199.05,9.488,,,9.488,0.0,5.392,,0.0
173.249.57.210,2096,FR,,,,,177.672,,,177.672,24.177,,,24.177,0.0,5.388,,0.0
104.18.240.175,443,XX,,,,,194.386,,,194.386,1.964,,,1.964,0.0,5.386,,0.0
104.18.231.157,443,XX,,,,,186.845,,,186.845,2.21,,,2.21,0.0,5.37,,0.0
104.19.70.175,443,XX,,,,,188.797,,,188.797,6.674,,,6.674,0.0,5.356,,0.0
18.197.105.31,443,DE,,,,,199.455,,,199.455,27.637,,,27.637,0.0,5.352,,0.0
162.159.141.126,443,XX,,,,,87.69,,,87.69,14.456,,,14.456,0.0,5.348,,0.0
104.16.240.230,443,XX,,,,,188.757,,,188.757,6.147,,,6.147,0.0,5.347,,0.0
162.159.160.10,443,XX,,,,,198.917,,,198.917,30.546,,,30.546,0.0,5.34,,0.0
104.19.32.160,443,XX,,,,,191.696,,,191.696,5.87,,,5.87,0.0,5.323,,0.0
104.19.15.65,443,XX,,,,,187.256,,,187.256,2.981,,,2.981,0.0,5.322,,0.0
94.143.231.154,443,DE,,,,,167.935,,,167.935,27.468,,,27.468,0.0,5.317,,0.0
132.243.203.9,8443,AT,,,,,160.332,,,160.332,3.907,,,3.907,0.0,5.312,,0.0
2.27.28.82,8443,DE,,,,,172.352,,,172.352,20.956,,,20.956,0.0,5.312,,0.0
91.184.253.89,443,NL,,,,,184.406,,,184.406,30.417,,,30.417,0.0,5.286,,0.0
104.16.14.218,443,XX,,,,,188.149,,,188.149,9.011,,,9.011,0.0,5.28,,0.0
138.226.222.186,8443,NL,,,,,170.232,,,170.232,25.014,,,25.014,0.0,5.278,,0.0
193.46.217.236,443,US,,,,,187.732,,,187.732,5.213,,,5.213,0.0,5.277,,0.0
162.159.241.198,443,XX,,,,,199.649,,,199.649,7.18,,,7.18,0.0,5.272,,0.0
104.245.13.47,443,US,,,,,169.057,,,169.057,5.275,,,5.275,0.0,5.27,,0.0
104.19.112.1,443,XX,,,,,193.884,,,193.884,6.546,,,6.546,0.0,5.261,,0.0
178.105.253.169,8443,DE,,,,,170.735,,,170.735,19.787,,,19.787,0.0,5.259,,0.0
178.104.104.3,8443,DE,,,,,176.344,,,176.344,19.437,,,19.437,0.0,5.254,,0.0
20.174.15.226,443,AE,,,,,162.988,,,162.988,2.345,,,2.345,0.0,5.249,,0.0
114.32.9.249,443,TW,,,,,125.447,,,125.447,20.806,,,20.806,0.0,5.246,,0.0
104.17.164.199,443,XX,,,,,198.151,,,198.151,14.6,,,14.6,0.0,5.246,,0.0
185.36.143.205,443,NL,,,,,180.926,,,180.926,17.998,,,17.998,0.0,5.242,,0.0
162.159.95.231,443,XX,,,,,188.503,,,188.503,7.047,,,7.047,0.0,5.24,,0.0
213.189.221.242,8443,LT,,,,,136.985,,,136.985,4.298,,,4.298,0.0,5.232,,0.0
194.154.29.151,8443,CH,,,,,172.435,,,172.435,31.398,,,31.398,0.0,5.232,,0.0
104.19.47.12,443,XX,,,,,197.203,,,197.203,12.871,,,12.871,0.0,5.224,,0.0
150.241.66.199,443,DE,,,,,195.945,,,195.945,27.112,,,27.112,0.0,5.217,,0.0
138.124.101.98,8443,NL,,,,,186.644,,,186.644,21.989,,,21.989,0.0,5.212,,0.0
162.159.145.5,443,XX,,,,,88.604,,,88.604,14.924,,,14.924,0.0,5.206,,0.0
160.25.74.124,443,VN,,,,,121.595,,,121.595,11.934,,,11.934,0.0,5.2,,0.0
91.107.189.32,443,DE,,,,,173.708,,,173.708,28.944,,,28.944,0.0,5.195,,0.0
31.56.222.241,443,NL,,,,,177.458,,,177.458,25.674,,,25.674,0.0,5.192,,0.0
138.16.178.169,443,IS,,,,,191.663,,,191.663,27.759,,,27.759,0.0,5.186,,0.0
162.159.230.93,443,XX,,,,,193.253,,,193.253,11.984,,,11.984,0.0,5.182,,0.0
194.0.194.105,443,NL,,,,,163.792,,,163.792,12.113,,,12.113,0.0,5.175,,0.0
74.112.103.187,8443,NL,,,,,189.135,,,189.135,24.629,,,24.629,0.0,5.17,,0.0
185.26.121.79,443,RU,,,,,167.261,,,167.261,8.206,,,8.206,0.0,5.161,,0.0
159.69.25.32,2053,DE,,,,,169.631,,,169.631,27.189,,,27.189,0.0,5.161,,0.0
178.105.181.55,2053,DE,,,,,170.23,,,170.23,24.743,,,24.743,0.0,5.158,,0.0
195.123.218.110,443,NL,,,,,175.393,,,175.393,28.106,,,28.106,0.0,5.154,,0.0
35.156.136.70,443,DE,,,,,181.935,,,181.935,32.672,,,32.672,0.0,5.132,,0.0
45.207.157.136,443,HK,,,,,121.3,,,121.3,7.122,,,7.122,0.0,5.128,,0.0
217.144.185.249,443,NL,,,,,162.808,,,162.808,2.614,,,2.614,0.0,5.113,,0.0
179.253.224.211,8443,US,,,,,169.942,,,169.942,2.124,,,2.124,0.0,5.113,,0.0
179.253.229.216,8443,US,,,,,169.481,,,169.481,3.418,,,3.418,0.0,5.106,,0.0
104.16.114.246,443,XX,,,,,183.817,,,183.817,5.747,,,5.747,0.0,5.103,,0.0
64.83.31.71,443,US,,,,,171.279,,,171.279,1.243,,,1.243,0.0,5.099,,0.0
20.120.129.200,443,US,,,,,161.882,,,161.882,4.1,,,4.1,0.0,5.098,,0.0
91.107.240.211,443,DE,,,,,153.645,,,153.645,2.213,,,2.213,0.0,5.067,,0.0
176.124.221.94,2053,GB,,,,,165.152,,,165.152,29.435,,,29.435,0.0,5.065,,0.0
191.223.217.68,8443,HK,,,,,113.228,,,113.228,0.562,,,0.562,0.0,5.056,,0.0
213.145.87.54,443,DE,,,,,155.518,,,155.518,5.107,,,5.107,0.0,5.056,,0.0
45.221.115.170,443,HK,,,,,122.835,,,122.835,9.883,,,9.883,0.0,5.05,,0.0
35.241.172.224,443,BE,,,,,194.046,,,194.046,27.71,,,27.71,0.0,5.035,,0.0
2.26.26.220,8443,DE,,,,,191.503,,,191.503,19.898,,,19.898,0.0,5.019,,0.0
162.159.145.177,443,XX,,,,,89.092,,,89.092,8.479,,,8.479,0.0,5.018,,0.0
77.110.107.151,443,DE,,,,,189.356,,,189.356,53.684,,,53.684,0.0,5.018,,0.0
83.172.136.214,443,CH,,,,,181.383,,,181.383,22.755,,,22.755,0.0,5.015,,0.0
20.235.105.146,443,IN,,,,,162.243,,,162.243,7.829,,,7.829,0.0,5.013,,0.0
31.77.161.178,8443,DE,,,,,166.109,,,166.109,28.344,,,28.344,0.0,5.01,,0.0
91.107.243.112,2053,DE,,,,,175.294,,,175.294,23.854,,,23.854,0.0,4.991,,0.0
178.105.180.139,2053,DE,,,,,178.565,,,178.565,33.865,,,33.865,0.0,4.991,,0.0
31.77.161.140,443,DE,,,,,170.216,,,170.216,17.783,,,17.783,0.0,4.983,,0.0
95.181.174.121,443,DE,,,,,188.58,,,188.58,21.014,,,21.014,0.0,4.976,,0.0
84.75.76.9,443,DE,,,,,169.241,,,169.241,28.629,,,28.629,0.0,4.973,,0.0
104.16.246.253,443,XX,,,,,191.753,,,191.753,8.28,,,8.28,0.0,4.973,,0.0
185.216.85.114,443,NL,,,,,174.655,,,174.655,4.14,,,4.14,0.0,4.969,,0.0
146.190.148.120,443,US,,,,,182.104,,,182.104,2.863,,,2.863,0.0,4.967,,0.0
136.243.86.79,2053,DE,,,,,149.518,,,149.518,4.401,,,4.401,0.0,4.955,,0.0
193.233.161.248,443,NL,,,,,177.486,,,177.486,25.182,,,25.182,0.0,4.954,,0.0
188.253.26.230,443,NL,,,,,189.007,,,189.007,26.255,,,26.255,0.0,4.944,,0.0
136.243.86.67,2053,DE,,,,,177.633,,,177.633,27.898,,,27.898,0.0,4.943,,0.0
178.105.200.8,443,DE,,,,,194.493,,,194.493,26.831,,,26.831,0.0,4.943,,0.0
82.115.20.202,443,DE,,,,,191.334,,,191.334,29.562,,,29.562,0.0,4.942,,0.0
143.198.68.232,443,US,,,,,176.694,,,176.694,3.483,,,3.483,0.0,4.939,,0.0
178.105.6.90,443,DE,,,,,197.851,,,197.851,28.752,,,28.752,0.0,4.937,,0.0
147.182.239.72,443,US,,,,,187.126,,,187.126,9.049,,,9.049,0.0,4.934,,0.0
45.192.247.155,2053,HK,,,,,117.263,,,117.263,5.385,,,5.385,0.0,4.929,,0.0
178.20.208.255,8443,US,,,,,143.152,,,143.152,9.619,,,9.619,0.0,4.927,,0.0
213.165.56.114,443,DE,,,,,198.512,,,198.512,18.69,,,18.69,0.0,4.927,,0.0
